year,team,Can Score,Forces Turnovers,Protects the Ball,High Volume 3PT Team,Elite Offensive Rebounding,Good Defense,Defends Three Point,Good Free Throw Team,Experienced Core,Multiple Top Recruits,Has Scoring Guard,Has Size
2010,Butler,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
2010,Duke,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2010,Michigan State,No,No,No,No,No,No,No,No,Yes,Yes,No,No
2010,West Virginia,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
2011,Butler,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
2011,UConn,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No
2011,Kentucky,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
2011,VCU,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
2012,Kansas,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
2012,Kentucky,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes
2012,Louisville,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No
2012,Ohio State,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes
2013,Louisville,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
2013,Michigan,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
2013,Syracuse,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
2013,Wichita State,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
2014,UConn,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
2014,Florida,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
2014,Kentucky,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes
2014,Wisconsin,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
2015,Duke,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes
2015,Kentucky,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
2015,Michigan State,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No
2015,Wisconsin,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes
2016,UNC,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
2016,Oklahoma,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No
2016,Syracuse,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes
2016,Villanova,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
2017,Gonzaga,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2017,UNC,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
2017,Oregon,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
2017,South Carolina,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
2018,Kansas,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
2018,Loyola (IL),No,No,No,No,No,Yes,Yes,No,Yes,No,No,No
2018,Michigan,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
2018,Villanova,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2019,Auburn,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
2019,Michigan State,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2019,Texas Tech,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No
2019,Virginia,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
2021,Baylor,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No
2021,Gonzaga,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
2021,Houston,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2021,UCLA,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
2022,Duke,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes
2022,Kansas,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
2022,UNC,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
2022,Villanova,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
2023,UConn,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2023,Florida Atlantic,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No
2023,Miami (FL),Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No
2023,San Diego State,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
2024,Alabama,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
2024,UConn,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
2024,NC State,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No
2024,Purdue,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No
